post_id,title,category,score,num_comments,author,Collected_at,engagement,is_popular
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-06 20:29:48,0.9444444444444444,False
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,546,181,detaro,2026-04-06 20:30:01,0.33089579524680074,True
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,590,208,pretext,2026-04-06 20:30:04,0.35194585448392557,True
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,781,365,hkmaxpro,2026-04-06 20:30:05,0.46675191815856776,True
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,73,40,1659447091,2026-04-06 20:30:12,0.5405405405405406,False
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-06 20:30:18,0.9384615384615385,False
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-06 20:30:30,0.42857142857142855,False
47650894,"Show HN: Gecit – DPI bypass using eBPF sock_ops, no proxy or VPN",entertainment,8,2,boratanrikulu,2026-04-06 20:30:47,0.2222222222222222,False
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,118,kasparnoor,2026-04-06 20:31:15,0.7712418300653595,False
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,52,52,luca-ctx,2026-04-06 20:31:24,0.9811320754716981,False
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06 20:31:28,0.5,False
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,193,75,MaximilianEmel,2026-04-06 20:31:33,0.3865979381443299,False
47604155,SpaceX files to go public,science,398,576,nutjob2,2026-04-06 20:31:45,1.443609022556391,True
47643637,Show HN: Dev Personality Test,entertainment,14,3,4m1rk,2026-04-06 20:31:56,0.2,False
47621438,Show HN: Made a little Artemis II tracker,entertainment,153,58,codingmoh,2026-04-06 20:32:00,0.37662337662337664,False
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,63,6,xbmcuser,2026-04-06 20:32:02,0.09375,False
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,11,0,Jet_Xu,2026-04-06 20:32:09,0.0,False
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06 20:32:17,0.4983164983164983,True
47643580,Show HN: Uncompressed – Self-hosted Netflix alternative at 60 Mbps instead of 15,entertainment,8,0,lackoftactics,2026-04-06 20:32:27,0.0,False
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,16,0,paberr,2026-04-06 20:32:30,0.0,False
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,23,14,slp3r,2026-04-06 20:32:34,0.5833333333333334,False
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,37,23,sagirodin,2026-04-06 20:32:36,0.6052631578947368,False
47653816,UK intelligence censored report on global warming and homeland security,worldnews,95,54,ewidar,2026-04-06 20:33:30,0.5625,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-06 20:34:31,0.14634146341463414,False
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06 20:34:33,0.753731343283582,False
47651019,PS3 emulator makes Cell CPU breakthrough that improves performance in all games,sports,8,0,gloxkiqcza,2026-04-06 20:34:37,0.0,False
47645926,The Spaceballs sequel will be released in April next year,science,8,1,WaitWaitWha,2026-04-06 20:35:15,0.1111111111111111,False
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,14,11,bookmtn,2026-04-06 20:35:48,0.7333333333333333,False
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,87,121,vrganj,2026-04-06 20:37:00,1.375,False
47654226,Trump proposes steep cut to NASA budget as astronauts head for the Moon,science,8,0,rbanffy,2026-04-06 20:37:08,0.0,False
